id;numero;bister;complement_1;complement_2;type_voie;voie;code_postal;ville;pays;affichage_internet;affichage_intranet
1;Baht;software Rustic;sky;web;Technicien;Rial transmitter;synthesizing d'Alésia deposit;Administrateur copying Handmade;Generic;true;false
2;c virtual c;Saint-Jacques Berkshire;Bahamian Handcrafted;blue Berkshire;Midi-Pyrénées Berkshire;reboot Compatible quantifying;SQL Rubber Games;Account Baby Pound;efficient;false;false
3;Poitou-Charentes c AGP;transmitting FTP Assimilated;Sleek communities;clicks-and-mortar indexing Fish;orchid b;Lats a;Coordinateur;Future-proofed Account quantifying;Mali synergistic;false;false
4;a Egyptian;calculating;1080p;Home override RSS;auxiliary Electronics Ergonomic;virtual;eyeballs user-facing;c Compatible Avon;primary Syrie;true;false
5;payment Pants next-generation;Frozen;Tasty;alliance digital Pizza;Practical action-items;quantifying cross-media;optical neural-net;next-generation Rosiers;Bonaparte green;true;true
6;Loan Soft;streamline;navigate;Licensed;Saint-Honoré Du AGP;Centralized Business-focused;Loan;invoice navigate;azure du;false;false
7;Administrateur;Tasty;Concrete Enhanced Cambridgeshire;extensible Tugrik;invoice USB national;Intelligent bus;payment;implement transmitting eco-centric;haptic Borders Vaneau;true;false
8;b Soap Real;Card c multi-tasking;systems purple;Open-source;Montorgueil;Architecte bluetooth deposit;Card;input;Rhône-Alpes Metal iterate;true;true
9;Account;mission-critical;Dollar) la;next-generation programming;Directeur Nesle enhance;Fish Cambridgeshire;du;Rustic back-end;Boétie;false;true
10;GB synthesizing;indigo;Developpeur up Lombards;Brésil;Nuevo b multi-byte;Kids deposit;Producteur Havre Limousin;vortals Languedoc-Roussillon Plastic;c;false;true
