id;numero;bister;complement_1;complement_2;type_voie;voie;code_postal;ville;pays;affichage_internet;affichage_intranet
1;b tan;silver payment black;Intelligent;Outdoors;quantifying e-commerce;open-source Franche-Comté PNG;XML Intelligent;a;Tasty;true;false
2;Mouffetard olive;reboot;Du;Rustic Bonaparte;mobile Books Ball;Re-engineered Guilder;Account empowering;up SCSI;a Chicken Kwanza;false;true
3;customized enable;Ukraine Pizza;matrix Îles;system Configurable;b;Checking synthesize;Cambridgeshire;Administrateur EXE c;HTTP;false;false
4;upward-trending;application grow Gloves;whiteboard Buckinghamshire invoice;c withdrawal Designer;Auvergne Account Toys;withdrawal COM Dominique;cyan up bypassing;Berkshire;Computers strategize;false;true
5;interface Ergonomic;systematic;Borders incentivize Czech;Lettonie;Bac;Wooden;b Franche-Comté;c;Handcrafted Bedfordshire Generic;true;false
6;Brunei;face;1080p deposit Avon;Loan;Administrateur synthesize;open panel;cross-platform;Mouse;Berkshire;false;false
7;back-end;Unbranded Wooden;orchestrate;hybrid;Chips;Enhanced Developpeur;benchmark systems a;input framework Clothing;turn-key stable connect;false;true
8;Handmade Alsace;connect;Saint-Marin Soft Bedfordshire;auxiliary;Shoes Nord-Pas-de-Calais connecting;b Chair;Cotton bypassing Superviseur;deliverables rich;salmon;true;false
9;Denar;Picardie enable;index deposit;Triple-buffered Nord-Pas-de-Calais transparent;magnetic;Soap;Lorraine e-markets dot-com;interface dedicated Beauty;withdrawal Marcadet;false;true
10;Midi-Pyrénées;Buckinghamshire;action-items;Berkshire schemas;Borders payment;turquoise Gabon;front-end a;Fantastic;parse dominicaine;false;true
