id;libelle;date_debut;date_fin
1;Avon;Augustins Érythrée c;Cambridgeshire Picardie Auvergne
2;out-of-the-box Fresh;red cross-platform cultivate;COM RAM Small
3;function haptic a;Angola;Concrete
4;Industrial;Small;Checking
5;indigo;Licensed b Executif;Nakfa primary Soft
6;la;niches;deposit program Cotton
7;Triple-buffered motivating;circuit;Steel Specialiste
8;Platinum grey bluetooth;Checking Concrete payment;open-source grey
9;c BEAC;e-tailers maximize Bedfordshire;calculating
10;systems;value-added generating Berkshire;e-tailers a benchmark
