id;code;libelle;avec_conseil_departemental;article;code_sirpas;code_comparaison;libelle_complet;libelle_avec_article
1;Frozen;Sleek;true;architect Steel;El;Beauty dynamic well-modulated;Soap;relationships
2;Cambridgeshire holistic;reboot array generating;true;User-centric primary Computer;online;e-markets Cambridgeshire Lorraine;port Gorgeous;card
3;sky;navigate;true;orange;interfaces solid;engage;world-class Montorgueil;empower matrix Bacon
4;Poitou-Charentes foreground;SMS Movies;true;Concrete Future-proofed;PNG;Soft;Shoes Agent;Mouffetard
5;Sleek;applications;true;Peso Digitized;c;a pink seize;bypassing sensor;deposit
6;projection Ball Basse-Normandie;cross-platform;false;Soudan red;Dollar;Reactive Colombie;payment;Lorraine de
7;Manager;Midi-Pyrénées Lorraine program;true;Unbranded;XML;turquoise transform;deposit generate;b de
8;withdrawal Vaneau;Gibraltar;true;integrate productivity;multi-byte Architecte reboot;Île-de-France;multi-byte FTP;indexing
9;Rubber;c c;false;Saint-Christophe-et-Niévès;Shoes;Buckinghamshire Sports index;du;bandwidth optimizing
10;clicks-and-mortar generate;Steel e-markets c;true;withdrawal;indigo c;connect;Executif;aggregate
