id;code;libelle;libelle_complet
1;digital Wooden;digital Consultant;Angola bandwidth b
2;bottom-line;maroon Bedfordshire implementation;hub du
3;Unbranded a cutting-edge;b c;fuchsia
4;Bourgogne;Hat payment;Small invoice Savings
5;c generation;Pizza Sleek Shoes;Specialiste
6;Gorgeous;Wooden payment;microchip Bretagne invoice
7;generate c;Directeur copying SMTP;Chair Champagne-Ardenne Enhanced
8;Gloves c;indigo Concrete;violet real-time
9;Chips Ingenieur quantify;Cotton Pants;alarm
10;discrete;Uruguay Berkshire deposit;Music Suède invoice
