id;numero;bister;complement_1;complement_2;type_voie;voie;code_postal;ville;pays;affichage_internet;affichage_intranet
1;Mauritanie;USB Ukraine Account;Bahamas generating b;partnerships high-level;primary leading-edge;empower;composite leading-edge Organized;Intelligent Saint-Honoré;b digital Account;false;true
2;Saudi grey;Loan;Automated;Books Practical Towels;Unit back;Cotton;Cambridgeshire;wireless;c Bacon;true;false
3;hacking Serbie;Afghani;granular Granite empower;bypassing c Dollar;client-driven;Industrial;Computers circuit Outdoors;c a AGP;Saint-Bernard real-time;false;true
4;customized;Maurice;Decentralized Automotive;synthesize Car;b capacity;overriding;invoice;wireless payment;Shirt;false;true
5;Grocery Sénégal calculate;a;Wooden Profound payment;COM;b;payment Checking Buckinghamshire;Focused;Clothing Nakfa;AGP Vanuatu Centre;true;true
6;Account knowledge Bedfordshire;white;open-source;superstructure;navigating secondary Boétie;Advanced synthesize dynamic;Fresh Credit;Coordinateur;SQL gold Chair;false;true
7;Argentine;Cotton array;driver;Chair SSL Steel;generate;d'Orsel;program methodologies;a Fresh;online Shirt intangible;false;true
8;web-readiness platforms;bypass seamless Credit;harness a;solutions;Industrial;Refined whiteboard;unleash Bulgarie;SCSI Frozen Gloves;Suriname c;true;false
9;Borders;Rubber monitoring Steel;GB;Tala;card rich;Distributed UAE Limousin;haptic cross-platform;olive;Soap;true;false
10;Shirt feed payment;Card indigo;program fault-tolerant;Generic Agent Cambridgeshire;Towels c Practical;Shirt;schemas backing synthesizing;Licensed hub transmitting;c Awesome;false;true
