id;libelle;date_debut;date_fin
1;Panama;Account;benchmark
2;utilize la context-sensitive;azure bus next-generation;Dollar
3;Mouffetard Loan;synthesize feed transmitter;Clothing driver
4;red Pakistan Rhône-Alpes;Table primary Baby;synergize Borders Toys
5;deposit Manager c;Checking Avon grid-enabled;Rhône-Alpes
6;la;Fresh Salad;Executif compress cyan
7;withdrawal Distributed;bluetooth Practical Hat;JBOD Laffitte
8;database Rustic;a logistical c;relationships ADP
9;online;panel homogeneous;bottom-line value-added Ariary
10;red;Plastic Pastourelle;SMS
