id;code;libelle;avec_conseil_departemental;article
1;De-engineered Dollar;Beauty;false;Account Table withdrawal
2;deposit HDD Chilean;Unbranded Brunei Manager;true;Portugal Music customized
3;override;directional cyan;false;Frozen
4;Manager USB Rubber;cross-platform up c;true;TCP
5;Table gold programming;engineer lime Tasty;true;neural a
6;primary;Bacon Movies;false;Toys deliver
7;Garden;engineer;true;Libye
8;Saint-Séverin;Sleek Turquie;true;deposit
9;Handmade Gourde optical;Loan olive;false;b
10;Health;virtual Centre Rhône-Alpes;true;c optical
